"","text"
"295","maxverstappen   cost sergio perez   "
"296","  charles lecler  finishes nd   championship despite sergio perez   faster car  season "
"297","abudhabigp final results max verstappen red bull charles leclerc ferrari sergio perez red bull  "
"298","max verstappen crosses  line  win  abudhabigp  charles leclerc  sergio perez carlos sainz comes ho "
"299"," sergio perez loses   becuase  max lol  formula abudhabigp  redbull"
"300","abudhabigp final results max verstappen red bull charles leclerc ferrari sergio perez red bull  "
"301","max verstappen wins  abudhabigp charles leclerc holds   late charge  sergio perez       "
"302","mental  max verstappen cost sergio perez  nd     pride   team player "
"303","  max   sergio   defend   lion  perez   max  drives  "
"304","max verstappen cost sergio perez  week"
"305","breaking news max verstappen  won todays sebastian vettels    race   overtakes "
"306","lap max verstappen wins  abu dhabi grand prix  th   season charles leclerc finishes   th "
"307","ferraris charles leclerc beats redbullracings sergio perez       drivers standings  "
"308","charles leclerc   masterclass  stop drive  clinch    race   drivers standings ahead  serg "
"309","  feel  sergio perez    help max verstappen win    title   max   "
"310","breaking  charles leclerc holds  sergio perez  deny red bull  onetwo   dnf  lewis hamilton giv "
"311","max verstappen wins  abu dhabi gp  charles leclerc holds onto      race   champions "
"312","max verstappen wins  abu dhabi gp ahead  charles leclerc sergio perez sainz russell norris ocon str "
"313"," max verstappen wins  abu dhabi gp  charles leclerc crosses  line    claims    champ "
"314","max verstappen wins  abudhabigp  charles leclerc     race     championship beating ser "
"315"," max verstappen yine zirvede  charles leclerc  sergio perez abudhabigp "
"316"," sun sets   marina     formula season  story  comeback domination grit amp talent "
"317","abudhabigpde zafer max verstappenin  charles leclerc  sergio perez "
"318","max verstappen wins  abu dhabi grand prix charles leclerc holds   nd sergio perez rd abudhabigp"
"319"," max verstappen signs    titlewinning campaign   recordextending th victory "
"320","  max verstappen    sergio perez past  brazil charles leclerc        "
"321","sergio perez   leclerc laps   abudhabigp"
"322","sergio perez   "
"323","max verstappen  poised  win  abu dhabi      championship    grabs    ser "
"324","sergio perez     sanyo beg  "
"325"," lap charles leclerc vs sergio perez oke cmon scuderia "
"326","rbr sergio perez radio max cant  leclerc drs     easier  leclerc  defend   "
"327","remember  fucking held hamilton      fucking teammate sergio perez"
"328","sergio perez   god beg   abeg"
"329","sergio perez checo    "
"330","  laps  latifi goes   wall   sergio perez  pass charles leclerc  fabudhabi"
"331","sergio perez please   guy please"
"332","lewis hamilton blocking sergio perez  abu dhabi  preventing  getting    wdc colourized "
"333"," scenario     red bull    sergio perez    fight       thei "
"334","sergio perez  faster move  moveeee "
"335","cmon sergio perez   catch charles leclerc formula"
"336","sergio perez  lewis hamilton battling   abudhabigp  "
"337"," laps     separate charles leclerc  sergio perez  comes   top abudhabigp leclerc perez"
"338","sergio perez   playing     position   aseasonoftheunexpected"
"339","lewis  sergio perez   hasnt forgotten  happened   "
"340","lots  stake      constructors standings  sergio perez  charles leclerc adudhabigp "
"341"," red bull  max verstappen  slow    slow charles leclerc    sergio perez  catchup "
"342"," charles leclerc vs sergio perez battle       laps abudhabigp"
"343","watching   hopefully sergio perez    winn amp finish nd   season"
"344"," laps   sergio perez  gain  claim nd  leclerc fresher tyres    abudhabigp"
"345","sergio perez     "
"346"," sergio perez versus lewis hamilton scrap     produce fun  clean racing unlike   "
"347","lap sergio perez  past lewis    straight abudhabigp"
"348"," abudhabigp  perez drs  hamilton    contact perez stays  cuz   straight line  "
"349","sergio perez   pnice formula"
"350"," laps     catch  sergio perez     catch  car    altogether "
"351","sergio perez  yourself "
"352"," hamiltons eventful  lap  abu dhabi  "
"353","sergio perez   overtake     outraced  lewis grabbing  nd drs  maintaining  abudhabigp"
"354"," verstappin demand perez  replaced  controversy continues  "
"355","lap sergio perez passes lewis hamilton  locks   loses    abudhabigp"
"356","cmon sergio perez  charging forward formula"
"357"," sergio perezs time"
"358","live  news hamiltons eventful  lap  abu dhabi "
"359","  fireworks  sergio perez  charles leclerc ferrari   lot  indecision    stop "
"360","  battle     race     championship  hotting  sergio perez  stopped  "
"361","  pace     catch leclerc sergio perez hes told     pace    abudhabigp"
"362","scuderiaferrari carlossainz    left   block sergio perez whos  strategist  ferrari "
"363","rbr tell sergio perez    expecting charles leclerc        current tyres  "
"364","sergio perez pits    told charles leclerc      time  checo  attack   looks  "
"365","lap sergio perez told  chase charles leclerc ontrack       pass cars abudhabigp"
"366","rbr tell sergio perez   laptime  spot   abudhabigp"
"367"," charles leclerc   win   finish ahead  sergio perez      onestop red bull   che "
"368","hannah cooked sergio perez strategy  nicely "
"369","sergio perez     stint abudhabigp"
"370","sergio perez     screwed    own teammate isnt  abudhabigp"
"371","sergio prez pit stop  lap   earlier  hope  doesnt lose  tires     race fighting wit "
"372","fernando alonso forced  retire  car  dnf  lap suspected water leak halfway current positions "
"373","lap sergio perez stops    time   set  hard tyres abudhabigp"
"374","  pitstop  sergio perez adudhabigp "
"375"," sergio perez told   leave red bull  max verstappen feud isnt dropped "
"376","charles leclerc  getting closer  sergio perez   adudhabigp "
"377","sergio im  held   max perez   verstappen "
"378","chrismedlandf sergio perez  finished"
"379","   max verstappen      win  sergio perez   lols abudhabigp"
"380"," top  drivers  history max verstappen  charles leclerc  juri vips  michael schumacher "
"381","  didnt materialise charles leclerc    ahead  carlos sainz    bit  sergio pere "
"382","sergio perez   wonderful team mate  player"
"383","sergio perez races "
"384","sebastian vettel    excellent job  holding  sergio perez    inadvertent helping hand  cha "
"385","sergio perez goes  hard tires adudhabigp "
"386","lap esteban ocon  yuki tsunoda  pierre gasly pit  hard tyres drivers begin    strategies "
"387","abudhabigp  george russell  sergio perez pit lewis hamilton running "
"388","sergio perez  pitted  hards  abudhabigp"
"389","sergio perezs pace  dropped   lost    ver    lap lec    tenths quicker   "
"390","  sergio perez cooking"
"391","formula teams crossword tshirt    limited time grab   abudhabigp max "
"392"," bbcf bide  time sergio perez  gazump mad max     laps        brazil "
"393","  looks ideal  red bull racinghonda   moment max verstappen leads  teammate sergio perez  "
"394","max  help sergio perez     seen    lmao theyre delusional"
"395","max  help sergio perez    "
"396","sergio perez radio   management   stage  copy  abudhabigp"
